bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Jardim Guanabara II,-16.6126753,-49.214477,8632.14,4313.95,7470.88
Jardim Guanabara III,-16.6114775,-49.2195408,8494.46,3774.87,7603.99
Jardim Guanabara IV,-16.6084858,-49.20688209999999,9451.81,5122.48,7936.47
Jardim Imperial,-16.7552746,-49.260067,8398.63,-539.42,-8376.6
Jardim Ipanema,-16.7900246,-49.2448663,12292.75,1078.8,-12238.47
Jardim Ipê,-16.6241881,-49.2746486,6538.96,-2091.73,6191.43
Jardim Itaipu,-16.7799472,-49.3600003,15772.8,-11178.0,-11118.54
Jardim Lageado,-16.6457433,-49.1897974,7916.36,6941.26,3795.93
Jardim Leblon,-16.6743699,-49.32344639999999,7316.64,-7286.59,614.58
Jardim Leblon II,-16.67637,-49.3241558,7376.73,-7362.11,392.3
Jardim Liberdade,-16.6150036,-49.34628,12109.41,-9717.38,7212.13
Jardim Maria Helena,-16.6953449,-49.246197,1956.68,937.14,-1716.44
Jardim Mariliza,-16.7351242,-49.2005539,8445.76,5796.16,-6137.23
Jardim Marques de Abreu,-16.7144034,-49.368488,12681.5,-12081.57,-3834.46
Jardim Mirabel,-16.6867236,-49.3367789,8743.61,-8705.92,-758.33
Jardim Nova Esperança,-16.6452914,-49.32725139999999,8605.1,-7691.66,3846.16
Jardim Novo Mundo,-16.6794382,-49.2182748,3912.17,3909.65,51.32
Jardim Novo Petrópolis,-16.6549676,-49.3455092,10032.0,-9635.32,2770.81
Jardim Pampulha,-16.6751175,-49.3342278,8455.89,-8434.34,531.49
Jardim Petropolis,-16.6623757,-49.3335936,8595.66,-8366.83,1947.53
Jardim Petrópolis,-16.6623757,-49.3335936,8595.66,-8366.83,1947.53
Jardim Planalto,-16.7157402,-49.3056932,6710.66,-5396.64,-3983.03
Jardim Presidente,-16.7355288,-49.3378807,10778.47,-8823.22,-6182.19
Jardim Real,-16.6526654,-49.37789129999999,13436.56,-13082.62,3026.66
Jardim Santo Antônio,-16.7291957,-49.2562665,5483.09,-134.83,-5478.38
Jardim São José,-16.7022382,-49.41610499999999,17338.14,-17150.73,-2482.51
Jardim Sônia Maria,-16.7299915,-49.3312956,9851.41,-8122.19,-5566.82
Jardim Vila Boa,-16.7283395,-49.3183735,8635.19,-6746.54,-5383.22
Jardim Vista Bela,-16.6305051,-49.3392337,10520.9,-8967.25,5489.4
Jardim Vitória,-16.6868491,-49.2707899,1850.86,-1680.94,-772.27
Jardim da Luz,-16.724382,-49.2360011,5344.06,2022.56,-4943.42
Jardim das Aroeiras,-16.6641568,-49.1992883,6187.25,5930.89,1749.59
Jardim das Esmeraldas,-16.720037,-49.25792089999999,4473.86,-310.95,-4460.54
Jardim das Hortências,-16.6406174,-49.3476619,10794.28,-9864.49,4365.59
Jardim das Rosas,-16.7292562,-49.3983234,16220.93,-15257.76,-5485.1
Jardins Amsterdã,-16.7243357,-49.1846615,8974.05,7488.01,-4938.27
Jardins Atenas,-16.5947685,-49.3450414,13477.18,-9585.52,9460.92
Jardins França,-16.7344374,-49.1828983,9784.74,7675.72,-6060.9
Jardins Itália,-16.7194275,-49.2163417,6022.5,4115.44,-4392.81
Jardins Lisboa,-16.7714284,-49.3545938,14699.14,-10602.44,-10171.82
Jardins Madri,-16.748523,-49.3434301,12120.86,-9413.99,-7626.28
Jardins Milão,-16.7250947,-49.2046145,7351.96,5363.88,-5022.62
Jardins Munique,-16.7203824,-49.20291950000001,7143.55,5544.33,-4498.93
Jardins Paris,-16.7285197,-49.2066422,7466.77,5148.02,-5403.25
Jardins Valência,-16.725399,-49.207515,7153.5,5055.1,-5056.44
Jardins Verona,-16.7197894,-49.2128946,6307.44,4482.41,-4433.03
Jardins Zurique,-16.7142185,-49.2178266,5498.87,3957.36,-3813.92
Lorena Parque,-16.696705,-49.3596038,11297.12,-11135.79,-1867.59
Loteamento Alphaville Residencial,-16.7490657,-49.3907044,16371.09,-14446.66,-7686.59
Loteamento Areião I,,,,,
Loteamento Aruanã Park,-16.6931226,-49.1989719,6146.15,5964.57,-1469.47
Loteamento Celina Park,-16.7121475,-49.3209099,7882.66,-7016.56,-3583.76
Loteamento Grande Retiro,-16.6677219,-49.18490269999999,7588.53,7462.34,1353.39
