rua,bairro,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Americano do Brasil,Setor Marista,-16.7055229,-49.2563209,2852.61,-140.62,-2847.55
Avenida Anglo,Vila Finsocial,-16.6255597,-49.3228578,9421.7,-7223.93,6039.0
Avenida Angélica,Parque Acalanto,-16.7326686,-49.2290479,6485.99,2762.78,-5864.33
Avenida Anhanguera,Aeroviário,-16.6679644,-49.3055259,5543.22,-5378.83,1326.44
Avenida Anhanguera,Capuava,-16.66103,-49.3245567,7700.66,-7404.79,2097.08
Avenida Anhanguera,Jardim Novo Mundo,-16.6690749,-49.2188247,4036.99,3851.11,1203.03
Avenida Anhanguera,Setor Aeroporto,-16.6784317,-49.2706306,1672.9,-1663.98,163.18
Avenida Anhanguera,Setor Central,-16.6749412,-49.2580801,641.62,-327.9,551.09
Avenida Anhanguera,Setor Oeste,-16.6786801,-49.272945,1916.25,-1910.37,135.57
Avenida Anhanguera,Setor dos Funcionários,-16.6745517,-49.2819239,2928.88,-2866.23,594.37
Avenida Anhanguera,Vila Morais,-16.6692743,-49.2243163,3475.41,3266.49,1180.87
Avenida Antônio Barbosa,Residencial Alice Barbosa,-16.5918917,-49.267862,9881.55,-1369.25,9780.62
Avenida Antônio Barbosa,Residencial Antônio Barbosa,-16.5917247,-49.268428,9908.47,-1429.5,9799.18
Avenida Antônio Crispim,Residencial Buena Vista III,-16.7192083,-49.3956458,15604.18,-14972.71,-4368.45
Avenida Antônio Crispim,Residencial Santa Fé,,,,,
Avenida Antônio Crispim,Residencial Santa Fé I,-16.7529447,-49.3721821,14889.78,-12474.84,-8117.67
Avenida Antônio Fidelis,Parque Amazônia,-16.7336004,-49.2746018,6325.62,-2086.75,-5967.88
Avenida Antônio Martins Borges,Setor Pedro Ludovico,-16.7184901,-49.2543749,4291.54,66.55,-4288.63
Avenida Antônio Perilo,Jardim Balneário Meia Ponte,-16.6213127,-49.2851347,7262.67,-3208.04,6510.98
