rua,latitude,longitude,distance_to_center_m,coordinate_x_m,coordinate_y_m
Avenida Cunha Gago,-16.6567002,-49.3148299,6875.54,-6369.3,2578.26
Avenida Curitiba,-16.6516513,-49.3124749,6881.21,-6118.6,3139.36
Avenida Cândido Portinari,-16.6483271,-49.2851723,4759.81,-3212.05,3508.79
Avenida César Lattes,-16.7220655,-49.3215778,8500.75,-7087.66,-4685.98
Avenida D,-16.6916498,-49.2678539,1892.47,-1368.39,-1305.79
Avenida Deputado Jamel Cecílio,-16.7047006,-49.240641,3153.39,1528.61,-2756.16
Avenida Diogo Naves,-16.72614,-49.33873999999999,10294.55,-8914.7,-5138.79
Avenida Diógenes Dolival Sampaio,-16.7259875,-49.2067561,7256.93,5135.89,-5121.84
Avenida Dom Emanuel,-16.6736115,-49.3060105,5478.34,-5430.42,698.86
Avenida Dom José Newton de Almeida Batista,-16.645301,-49.1937745,7572.25,6517.87,3845.09
Avenida Dom Pedro II,-16.6159656,-49.2518114,7117.29,339.45,7105.22
Avenida Domiciano Peixoto,-16.7263722,-49.3173383,8413.21,-6636.34,-5164.59
Avenida Domingos Lemes do Prado,-16.6501593,-49.2705538,3698.86,-1655.81,3305.17
Avenida Dona Ana Nunes de Morais,-16.7251638,-49.2778556,5590.84,-2433.13,-5030.3
Avenida Dona Florinda,-16.7054206,-49.3733353,12919.3,-12597.6,-2836.18
Avenida Dona Maria Cardoso,-16.7376748,-49.2806456,6980.76,-2730.15,-6420.68
Avenida Dona Melinha,-16.6000549,-49.3113064,10714.99,-5994.2,8873.42
Avenida Dona Terezinha de Morais,-16.7312548,-49.2832322,6453.63,-3005.51,-5707.21
Avenida Doutor Irani Alves Ferreira,-16.6740909,-49.2755214,2279.34,-2184.64,645.58
Avenida Doutor Irany Alves Ferreira,-16.6740909,-49.2755214,2279.34,-2184.64,645.58
Avenida Doutor Ismerino Soares de Carvalho,-16.6754456,-49.269265,1598.16,-1518.61,495.03
Avenida Doutor Jahyr Abrão Estrela,-16.6447702,-49.1782057,9065.37,8175.28,3904.08
Avenida Doutor José Hermano,-16.7164814,-49.222227,5360.0,3488.91,-4065.4
Avenida Doutor José Neto Carneiro,-16.6451831,-49.2578248,3872.05,-300.72,3858.19
Avenida Dário Vieira Machado,-16.6165928,-49.2912162,8027.44,-3855.46,7035.52
Avenida Décima Avenida,-16.662065,-49.2478651,2123.81,759.56,1982.06
Avenida Décima Primeira Avenida,-16.6796873,-49.240908,1501.21,1500.19,23.64
Avenida Décima Segunda Avenida,-16.6851399,-49.242721,1431.81,1307.18,-582.33
Avenida E,-16.7004737,-49.24222,2662.03,1360.52,-2286.42
Avenida EF 9,-16.729114,-49.360757,12522.4,-11258.56,-5469.3
Avenida Edmundo Pinheiro de Abreu,-16.7100014,-49.2591285,3375.88,-439.51,-3345.26
Avenida Edwirges de Jesus,-16.6137731,-49.299124,8727.15,-4697.3,7348.88
Avenida Eli Alves Forte,-16.7417347,-49.3767263,14674.24,-12958.6,-6871.87
Avenida Eli Alves Fortes,-16.7417347,-49.3767263,14674.24,-12958.6,-6871.87
Avenida Elza Pires,-16.5472179,-49.271872,14862.7,-1796.14,14745.35
Avenida Emílio Póvoa,-16.6124784,-49.3022033,9027.34,-5025.11,7492.76
Avenida Engenheiro Atílio Correia Lima,-16.6820951,-49.3061772,5456.63,-5448.16,-243.95
